Wall time,Step,Value
1495126435.354019,0,0.09154820442199707
1495126538.8282876,200,0.0006205439567565918
1495126625.989066,400,7.402896881103516e-05
1495126712.9376028,600,4.565715789794922e-05
1495126800.3084939,800,0.0003300309181213379
1495127095.6430576,1000,0.0002319812774658203
1495127196.3348417,1200,2.7000904083251953e-05
1495127280.6694002,1400,7.176399230957031e-05
1495127365.9644206,1600,0.00012111663818359375
1495127450.193755,1800,7.617473602294922e-05
1495127744.014789,2000,4.3511390686035156e-05
1495127845.299829,2200,7.420778274536133e-05
1495127932.106891,2400,0.0002359151840209961
1495128016.4607053,2600,0.0001469254493713379
1495128100.9708574,2800,0.00011408329010009766
1495128392.4884973,3000,4.929304122924805e-05
1495128491.1035008,3200,0.00011169910430908203
1495128578.3776722,3400,0.00010383129119873047
1495128666.4021628,3600,3.7670135498046875e-05
1495128754.8574624,3800,4.7326087951660156e-05
1495129052.311274,4000,0.0003331899642944336
1495129152.4669263,4200,3.9696693420410156e-05
1495129240.8882031,4400,5.7756900787353516e-05
1495129325.4219754,4600,3.522634506225586e-05
1495129411.7848246,4800,7.975101470947266e-05
1495129707.434217,5000,2.765655517578125e-05
1495129807.7421942,5200,4.83393669128418e-05
1495129897.0299723,5400,0.00012743473052978516
1495129985.5589294,5600,6.794929504394531e-05
1495130072.5217478,5800,2.3543834686279297e-05
1495130369.7457042,6000,5.7756900787353516e-05
1495130469.0280247,6200,2.187490463256836e-05
1495130553.5622406,6400,0.00039005279541015625
1495130639.926598,6600,7.587671279907227e-05
1495130726.2637043,6800,5.942583084106445e-05
1495131019.89223,7000,0.00036782026290893555
1495131124.3085513,7200,3.629922866821289e-05
1495131211.1082914,7400,1.9490718841552734e-05
1495131295.2366662,7600,5.608797073364258e-05
1495131384.4358234,7800,8.767843246459961e-05
1495131679.7310753,8000,3.987550735473633e-05
1495131777.9681387,8200,7.253885269165039e-05
1495131863.4266205,8400,4.374980926513672e-05
1495131949.0534985,8600,3.5703182220458984e-05
1495132036.0474038,8800,2.4199485778808594e-05
1495132330.1153188,9000,3.921985626220703e-05
1495132430.495356,9200,1.8835067749023438e-05
1495132517.2275138,9400,7.706880569458008e-05
1495132604.8174267,9600,3.421306610107422e-05
1495132692.160645,9800,4.082918167114258e-05
1495133714.6020634,10000,3.409385681152344e-05
1495133819.2260725,10200,2.0802021026611328e-05
1495133906.8226764,10400,3.445148468017578e-05
1495133993.9243789,10600,2.866983413696289e-05
1495134082.8519814,10800,3.6656856536865234e-05
1495134373.8415627,11000,2.467632293701172e-05
1495134468.9361115,11200,3.838539123535156e-05
1495134556.9773624,11400,3.618001937866211e-05
1495134652.731255,11600,3.1828880310058594e-05
1495134736.4919722,11800,3.063678741455078e-05
1495135033.2017992,12000,3.600120544433594e-05
1495135127.4794133,12200,3.415346145629883e-05
1495135218.991616,12400,3.612041473388672e-05
1495135303.6639082,12600,9.512901306152344e-05
1495135387.789448,12800,1.9550323486328125e-05
1495135680.785316,13000,7.319450378417969e-05
1495135785.1901495,13200,9.697675704956055e-05
1495135871.831661,13400,3.3020973205566406e-05
1495135954.983488,13600,3.618001937866211e-05
1495136039.886889,13800,2.676248550415039e-05
1495136332.9582956,14000,1.9609928131103516e-05
1495136432.8426137,14200,6.073713302612305e-05
1495136515.8902166,14400,3.129243850708008e-05
1495136600.5158994,14600,3.594160079956055e-05
1495136681.757666,14800,2.5451183319091797e-05
1495136963.1159906,15000,1.4901161193847656e-05
1495137052.0303786,15200,4.935264587402344e-05
1495137129.9486759,15400,3.30805778503418e-05
1495137208.1561508,15600,1.1980533599853516e-05
1495137287.4065702,15800,8.463859558105469e-05
1495137566.001467,16000,5.9664249420166016e-05
1495137658.2062716,16200,5.7637691497802734e-05
1495137736.6043751,16400,2.5928020477294922e-05
1495137817.2713656,16600,4.51207160949707e-05
1495137895.8009548,16800,4.13060188293457e-05
1495138174.413002,17000,3.731250762939453e-05
1495138263.318681,17200,2.390146255493164e-05
1495138343.8160412,17400,4.166364669799805e-05
